Date,Company,State or Province,City,Regular,Midgrade,Premium,Diesel
2020/07/08,esso,ontario,kanata,99.9,116.9,123.9,92.9
2020/07/08,shell,ontario,kanata,99.9,123.9,133.9
2020/07/08,ultramar,ontario,kanata,99.9,113.9,118.9
2020/07/08,esso,ontario,kanata,102.4,113.9,121.9,90.9
2020/07/08,ultramar,ontario,kanata,102.4,106.9,111.9,88.9
2020/07/08,esso,ontario,kanata,102.9,120.9,128.9,91.9
2020/07/08,esso,ontario,kanata,102.9,120.9,128.9,92.9
2020/07/08,canadian tire,ontario,kanata,102.9,114.9,120.9,92.9
2020/07/08,petro-canada,ontario,kanata,102.9,119.9,126.9,102.9
2020/07/08,ultramar,ontario,kanata,102.9,110.9,115.9,91.9
2020/07/09,ultramar,ontario,kanata,101.9,112.9,117.9,89.9
2020/07/09,ultramar,ontario,kanata,101.9,110.9,115.9,91.9
2020/07/09,petro-canada,ontario,kanata,101.9,120.9,127.9,102.9
2020/07/09,esso,ontario,kanata,101.9,112.9,120.9,92.9
2020/07/09,esso,ontario,kanata,101.9,120.9,128.9,91.9
2020/07/09,petro-canada,ontario,kanata,103.9,113.9,120.9,92.9
2020/07/09,esso,ontario,kanata,103.9,118.9,126.9
2020/07/09,ultramar,ontario,kanata,104.4,106.9,120.9,94.9
2020/07/09,esso,ontario,kanata,104.4,113.9,121.9,90.9
2020/07/09,macewen,ontario,kanata,104.6,,102.6